Series_Title,IMDB_Rating,Genre,Runtime,Certificate,Released_Year
The Shawshank Redemption,9.3,Drama,142 min,A,1994
The Godfather,9.2,"Crime, Drama",175 min,A,1972
The Dark Knight,9.0,"Action, Crime, Drama",152 min,UA,2008
The Godfather: Part II,9.0,"Crime, Drama",202 min,A,1974
12 Angry Men,9.0,"Crime, Drama",96 min,U,1957
The Lord of the Rings: The Return of the King,8.9,"Action, Adventure, Drama",201 min,U,2003
Pulp Fiction,8.9,"Crime, Drama",154 min,A,1994
Schindler's List,8.9,"Biography, Drama, History",195 min,A,1993
Inception,8.8,"Action, Adventure, Sci-Fi",148 min,UA,2010
Fight Club,8.8,Drama,139 min,A,1999
The Lord of the Rings: The Fellowship of the Ring,8.8,"Action, Adventure, Drama",178 min,U,2001
Forrest Gump,8.8,"Drama, Romance",142 min,UA,1994
"Il buono, il brutto, il cattivo",8.8,Western,161 min,A,1966
The Lord of the Rings: The Two Towers,8.7,"Action, Adventure, Drama",179 min,UA,2002
The Matrix,8.7,"Action, Sci-Fi",136 min,A,1999
Goodfellas,8.7,"Biography, Crime, Drama",146 min,A,1990
Star Wars: Episode V - The Empire Strikes Back,8.7,"Action, Adventure, Fantasy",124 min,UA,1980
One Flew Over the Cuckoo's Nest,8.7,Drama,133 min,A,1975
Hamilton,8.6,"Biography, Drama, History",160 min,PG-13,2020
Gisaengchung,8.6,"Comedy, Drama, Thriller",132 min,A,2019
Soorarai Pottru,8.6,Drama,153 min,U,2020
Interstellar,8.6,"Adventure, Drama, Sci-Fi",169 min,UA,2014
Cidade de Deus,8.6,"Crime, Drama",130 min,A,2002
Sen to Chihiro no kamikakushi,8.6,"Animation, Adventure, Family",125 min,U,2001
Saving Private Ryan,8.6,"Drama, War",169 min,R,1998
The Green Mile,8.6,"Crime, Drama, Fantasy",189 min,A,1999
La vita è bella,8.6,"Comedy, Drama, Romance",116 min,U,1997
Se7en,8.6,"Crime, Drama, Mystery",127 min,A,1995
The Silence of the Lambs,8.6,"Crime, Drama, Thriller",118 min,A,1991
Star Wars,8.6,"Action, Adventure, Fantasy",121 min,UA,1977
Seppuku,8.6,"Action, Drama, Mystery",133 min,,1962
Shichinin no samurai,8.6,"Action, Adventure, Drama",207 min,U,1954
It's a Wonderful Life,8.6,"Drama, Family, Fantasy",130 min,PG,1946
Joker,8.5,"Crime, Drama, Thriller",122 min,A,2019
Whiplash,8.5,"Drama, Music",106 min,A,2014
The Intouchables,8.5,"Biography, Comedy, Drama",112 min,UA,2011
The Prestige,8.5,"Drama, Mystery, Sci-Fi",130 min,U,2006
The Departed,8.5,"Crime, Drama, Thriller",151 min,A,2006
The Pianist,8.5,"Biography, Drama, Music",150 min,R,2002
Gladiator,8.5,"Action, Adventure, Drama",155 min,UA,2000
American History X,8.5,Drama,119 min,R,1998
The Usual Suspects,8.5,"Crime, Mystery, Thriller",106 min,A,1995
Léon,8.5,"Action, Crime, Drama",110 min,A,1994
The Lion King,8.5,"Animation, Adventure, Drama",88 min,U,1994
Terminator 2: Judgment Day,8.5,"Action, Sci-Fi",137 min,U,1991
Nuovo Cinema Paradiso,8.5,"Drama, Romance",155 min,U,1988
Hotaru no haka,8.5,"Animation, Drama, War",89 min,U,1988
Back to the Future,8.5,"Adventure, Comedy, Sci-Fi",116 min,U,1985
Once Upon a Time in the West,8.5,Western,165 min,U,1968
Psycho,8.5,"Horror, Mystery, Thriller",109 min,A,1960
Casablanca,8.5,"Drama, Romance, War",102 min,U,1942
Modern Times,8.5,"Comedy, Drama, Family",87 min,G,1936
City Lights,8.5,"Comedy, Drama, Romance",87 min,G,1931
Capharnaüm,8.4,Drama,126 min,A,2018
Ayla: The Daughter of War,8.4,"Biography, Drama, History",125 min,,2017
Vikram Vedha,8.4,"Action, Crime, Drama",147 min,UA,2017
Kimi no na wa.,8.4,"Animation, Drama, Fantasy",106 min,U,2016
Dangal,8.4,"Action, Biography, Drama",161 min,U,2016
Spider-Man: Into the Spider-Verse,8.4,"Animation, Action, Adventure",117 min,U,2018
Avengers: Endgame,8.4,"Action, Adventure, Drama",181 min,UA,2019
Avengers: Infinity War,8.4,"Action, Adventure, Sci-Fi",149 min,UA,2018
Coco,8.4,"Animation, Adventure, Family",105 min,U,2017
Django Unchained,8.4,"Drama, Western",165 min,A,2012
The Dark Knight Rises,8.4,"Action, Adventure",164 min,UA,2012
3 Idiots,8.4,"Comedy, Drama",170 min,UA,2009
Taare Zameen Par,8.4,"Drama, Family",165 min,U,2007
WALL·E,8.4,"Animation, Adventure, Family",98 min,U,2008
The Lives of Others,8.4,"Drama, Mystery, Thriller",137 min,A,2006
Oldeuboi,8.4,"Action, Drama, Mystery",101 min,A,2003
Memento,8.4,"Mystery, Thriller",113 min,UA,2000
Mononoke-hime,8.4,"Animation, Action, Adventure",134 min,U,1997
Once Upon a Time in America,8.4,"Crime, Drama",229 min,A,1984
Raiders of the Lost Ark,8.4,"Action, Adventure",115 min,A,1981
The Shining,8.4,"Drama, Horror",146 min,A,1980
Apocalypse Now,8.4,"Drama, Mystery, War",147 min,R,1979
Alien,8.4,"Horror, Sci-Fi",117 min,R,1979
Anand,8.4,"Drama, Musical",122 min,U,1971
Tengoku to jigoku,8.4,"Crime, Drama, Mystery",143 min,,1963
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,8.4,Comedy,95 min,A,1964
Witness for the Prosecution,8.4,"Crime, Drama, Mystery",116 min,U,1957
Paths of Glory,8.4,"Drama, War",88 min,A,1957
Rear Window,8.4,"Mystery, Thriller",112 min,U,1954
Sunset Blvd.,8.4,"Drama, Film-Noir",110 min,Passed,1950
The Great Dictator,8.4,"Comedy, Drama, War",125 min,Passed,1940
1917,8.3,"Drama, Thriller, War",119 min,R,2019
Tumbbad,8.3,"Drama, Fantasy, Horror",104 min,A,2018
Andhadhun,8.3,"Crime, Drama, Music",139 min,UA,2018
Drishyam,8.3,"Crime, Drama, Thriller",160 min,U,2013
Jagten,8.3,Drama,115 min,R,2012
Jodaeiye Nader az Simin,8.3,Drama,123 min,PG-13,2011
Incendies,8.3,"Drama, Mystery, War",131 min,R,2010
Miracle in cell NO.7,8.3,Drama,132 min,TV-14,2019
Babam ve Oglum,8.3,"Drama, Family",112 min,,2005
Inglourious Basterds,8.3,"Adventure, Drama, War",153 min,A,2009
Eternal Sunshine of the Spotless Mind,8.3,"Drama, Romance, Sci-Fi",108 min,UA,2004
Amélie,8.3,"Comedy, Romance",122 min,U,2001
Snatch,8.3,"Comedy, Crime",104 min,UA,2000
Requiem for a Dream,8.3,Drama,102 min,A,2000
American Beauty,8.3,Drama,122 min,UA,1999
Good Will Hunting,8.3,"Drama, Romance",126 min,U,1997
Bacheha-Ye aseman,8.3,"Drama, Family, Sport",89 min,PG,1997
Toy Story,8.3,"Animation, Adventure, Comedy",81 min,U,1995
Braveheart,8.3,"Biography, Drama, History",178 min,A,1995
Reservoir Dogs,8.3,"Crime, Drama, Thriller",99 min,R,1992
Full Metal Jacket,8.3,"Drama, War",116 min,UA,1987
Idi i smotri,8.3,"Drama, Thriller, War",142 min,A,1985
Aliens,8.3,"Action, Adventure, Sci-Fi",137 min,U,1986
Amadeus,8.3,"Biography, Drama, History",160 min,R,1984
Scarface,8.3,"Crime, Drama",170 min,A,1983
Star Wars: Episode VI - Return of the Jedi,8.3,"Action, Adventure, Fantasy",131 min,U,1983
Das Boot,8.3,"Adventure, Drama, Thriller",149 min,R,1981
Taxi Driver,8.3,"Crime, Drama",114 min,A,1976
The Sting,8.3,"Comedy, Crime, Drama",129 min,U,1973
A Clockwork Orange,8.3,"Crime, Drama, Sci-Fi",136 min,A,1971
2001: A Space Odyssey,8.3,"Adventure, Sci-Fi",149 min,U,1968
Per qualche dollaro in più,8.3,Western,132 min,U,1965
Lawrence of Arabia,8.3,"Adventure, Biography, Drama",228 min,U,1962
The Apartment,8.3,"Comedy, Drama, Romance",125 min,U,1960
North by Northwest,8.3,"Adventure, Mystery, Thriller",136 min,U,1959
Vertigo,8.3,"Mystery, Romance, Thriller",128 min,A,1958
Singin' in the Rain,8.3,"Comedy, Musical, Romance",103 min,G,1952
Ikiru,8.3,Drama,143 min,,1952
Ladri di biciclette,8.3,Drama,89 min,,1948
Double Indemnity,8.3,"Crime, Drama, Film-Noir",107 min,Passed,1944
Citizen Kane,8.3,"Drama, Mystery",119 min,UA,1941
M - Eine Stadt sucht einen Mörder,8.3,"Crime, Mystery, Thriller",117 min,Passed,1931
Metropolis,8.3,"Drama, Sci-Fi",153 min,,1927
The Kid,8.3,"Comedy, Drama, Family",68 min,Passed,1921
Chhichhore,8.2,"Comedy, Drama",143 min,UA,2019
Uri: The Surgical Strike,8.2,"Action, Drama, War",138 min,UA,2018
K.G.F: Chapter 1,8.2,"Action, Drama",156 min,UA,2018
Green Book,8.2,"Biography, Comedy, Drama",130 min,UA,2018
"Three Billboards Outside Ebbing, Missouri",8.2,"Comedy, Crime, Drama",115 min,A,2017
Talvar,8.2,"Crime, Drama, Mystery",132 min,UA,2015
Baahubali 2: The Conclusion,8.2,"Action, Drama",167 min,UA,2017
Klaus,8.2,"Animation, Adventure, Comedy",96 min,PG,2019
Drishyam,8.2,"Crime, Drama, Mystery",163 min,UA,2015
Queen,8.2,"Adventure, Comedy, Drama",146 min,UA,2013
Mandariinid,8.2,"Drama, War",87 min,,2013
Bhaag Milkha Bhaag,8.2,"Biography, Drama, Sport",186 min,U,2013
Gangs of Wasseypur,8.2,"Action, Comedy, Crime",321 min,A,2012
Udaan,8.2,Drama,134 min,UA,2010
Paan Singh Tomar,8.2,"Action, Biography, Crime",135 min,UA,2012
El secreto de sus ojos,8.2,"Drama, Mystery, Romance",129 min,R,2009
Warrior,8.2,"Action, Drama, Sport",140 min,UA,2011
Shutter Island,8.2,"Mystery, Thriller",138 min,A,2010
Up,8.2,"Animation, Adventure, Comedy",96 min,U,2009
The Wolf of Wall Street,8.2,"Biography, Crime, Drama",180 min,A,2013
Chak De! India,8.2,"Drama, Family, Sport",153 min,U,2007
There Will Be Blood,8.2,Drama,158 min,A,2007
Pan's Labyrinth,8.2,"Drama, Fantasy, War",118 min,UA,2006
Toy Story 3,8.2,"Animation, Adventure, Comedy",103 min,U,2010
V for Vendetta,8.2,"Action, Drama, Sci-Fi",132 min,A,2005
Rang De Basanti,8.2,"Comedy, Crime, Drama",167 min,UA,2006
Black,8.2,Drama,122 min,U,2005
Batman Begins,8.2,"Action, Adventure",140 min,UA,2005
"Swades: We, the People",8.2,Drama,210 min,U,2004
Der Untergang,8.2,"Biography, Drama, History",156 min,R,2004
Hauru no ugoku shiro,8.2,"Animation, Adventure, Family",119 min,U,2004
A Beautiful Mind,8.2,"Biography, Drama",135 min,UA,2001
Hera Pheri,8.2,"Action, Comedy, Crime",156 min,U,2000
"Lock, Stock and Two Smoking Barrels",8.2,"Action, Comedy, Crime",107 min,A,1998
L.A. Confidential,8.2,"Crime, Drama, Mystery",138 min,A,1997
Eskiya,8.2,"Crime, Drama, Thriller",128 min,,1996
Heat,8.2,"Crime, Drama, Thriller",170 min,A,1995
Casino,8.2,"Crime, Drama",178 min,A,1995
Andaz Apna Apna,8.2,"Action, Comedy, Romance",160 min,U,1994
Unforgiven,8.2,"Drama, Western",130 min,A,1992
Indiana Jones and the Last Crusade,8.2,"Action, Adventure",127 min,U,1989
Dom za vesanje,8.2,"Comedy, Crime, Drama",142 min,R,1988
Tonari no Totoro,8.2,"Animation, Family, Fantasy",86 min,U,1988
Die Hard,8.2,"Action, Thriller",132 min,A,1988
Ran,8.2,"Action, Drama, War",162 min,U,1985
Raging Bull,8.2,"Biography, Drama, Sport",129 min,A,1980
Stalker,8.2,"Drama, Sci-Fi",162 min,U,1979
Höstsonaten,8.2,"Drama, Music",99 min,U,1978
The Message,8.2,"Biography, Drama, History",177 min,PG,1976
Sholay,8.2,"Action, Adventure, Comedy",204 min,U,1975
Monty Python and the Holy Grail,8.2,"Adventure, Comedy, Fantasy",91 min,PG,1975
The Great Escape,8.2,"Adventure, Drama, History",172 min,U,1963
To Kill a Mockingbird,8.2,"Crime, Drama",129 min,U,1962
Yôjinbô,8.2,"Action, Drama, Thriller",110 min,,1961
Judgment at Nuremberg,8.2,"Drama, War",179 min,A,1961
Some Like It Hot,8.2,"Comedy, Music, Romance",121 min,U,1959
Smultronstället,8.2,"Drama, Romance",91 min,U,1957
Det sjunde inseglet,8.2,"Drama, Fantasy, History",96 min,A,1957
Du rififi chez les hommes,8.2,"Crime, Drama, Thriller",118 min,,1955
Dial M for Murder,8.2,"Crime, Thriller",105 min,A,1954
Tôkyô monogatari,8.2,Drama,136 min,U,1953
Rashômon,8.2,"Crime, Drama, Mystery",88 min,,1950
All About Eve,8.2,Drama,138 min,Passed,1950
The Treasure of the Sierra Madre,8.2,"Adventure, Drama, Western",126 min,Passed,1948
To Be or Not to Be,8.2,"Comedy, War",99 min,Passed,1942
The Gold Rush,8.2,"Adventure, Comedy, Drama",95 min,Passed,1925
