Series_Title,IMDB_Rating,Genre,Runtime,Certificate,Released_Year,Rank,Lifetime Gross,Action,Adventure,Animation,Biography,Comedy,Crime,Drama,Family,Fantasy,Film-Noir,History,Horror,Music,Musical,Mystery,Romance,Sci-Fi,Sport,Thriller,War,Western
The Shawshank Redemption,9.3,Drama,142.0,A,1994,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Godfather,9.2,"Crime, Drama",175.0,A,1972,717.0,250342198.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Dark Knight,9.0,"Action, Crime, Drama",152.0,UA,2008,56.0,1009057329.0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Godfather: Part II,9.0,"Crime, Drama",202.0,A,1974,,,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12 Angry Men,9.0,"Crime, Drama",96.0,U,1957,,,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Lord of the Rings: The Return of the King,8.9,"Action, Adventure, Drama",201.0,U,2003,32.0,1138289436.0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pulp Fiction,8.9,"Crime, Drama",154.0,A,1994,870.0,213928762.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Schindler's List,8.9,"Biography, Drama, History",195.0,A,1993,525.0,322161245.0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Inception,8.8,"Action, Adventure, Sci-Fi",148.0,UA,2010,97.0,839030630.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Fight Club,8.8,Drama,139.0,A,1999,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Lord of the Rings: The Fellowship of the Ring,8.8,"Action, Adventure, Drama",178.0,U,2001,79.0,888189566.0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Forrest Gump,8.8,"Drama, Romance",142.0,UA,1994,157.0,678226465.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
